evs_p1_32kout.pcm, 25520, 5
evs_p6_32kout.pcm, 27756, 2687
evs_p1_32kout.pcm, 25100, 7
evs_p6_32kout.pcm, 25100, 3
evs_p1_32kout.pcm, 25100, 1138
evs_p6_32kout.pcm, 28044, 14
evs_p1_32kout.pcm, 25100, 146
evs_p6_32kout.pcm, 28044, 14
evs_p1_32kout.pcm, 25100, 93
evs_p6_32kout.pcm, 28044, 14
evs_p1_32kout.pcm, 24308, 0
evs_p6_32kout.pcm, 17550, 0
evs_p1_32kout.pcm, 24308, 0
evs_p6_32kout.pcm, 17550, 0
evs_p1_32kout.pcm, 0, 0
evs_p6_32kout.pcm, 17550, 0
evs_p1_32kout.pcm, 24308, 0
evs_p6_32kout.pcm, 17550, 0
evs_p1_32kout.pcm, 25100, 3
evs_p6_32kout.pcm, 26348, 82
evs_p1_32kout.pcm, 28044, 196
evs_p6_32kout.pcm, 28044, 25
evs_p1_32kout.pcm, 28044, 196
evs_p6_32kout.pcm, 28044, 25
evs_p1_32kout.pcm, 28044, 200
evs_p6_32kout.pcm, 28044, 198
evs_p1_32kout.pcm, 25100, 90
evs_p6_32kout.pcm, 26332, 15
evs_p1_32kout.pcm, 28044, 78
evs_p6_32kout.pcm, 28044, 74
evs_p1_32kout.pcm, 28044, 199
evs_p6_32kout.pcm, 28044, 102
evs_p1_32kout.pcm, 28044, 41
evs_p6_32kout.pcm, 28044, 1
evs_p1_32kout.pcm, 28044, 619
evs_p6_32kout.pcm, 28044, 549
evs_p1_32kout.pcm, 28044, 479
evs_p6_32kout.pcm, 28044, 2
evs_p1_32kout.pcm, 26348, 125
evs_p6_32kout.pcm, 25100, 105
evs_p1_32kout.pcm, 28044, 2
evs_p6_32kout.pcm, 28044, 9
evs_p1_32kout.pcm, 28044, 365
evs_p6_32kout.pcm, 28044, 13
evs_p1_32kout.pcm, 28044, 95
evs_p6_32kout.pcm, 28044, 18
evs_p1_32kout.pcm, 28044, 203
evs_p6_32kout.pcm, 28044, 16
evs_p1_32kout.pcm, 28044, 74
evs_p6_32kout.pcm, 28044, 15
